realtime_start,realtime_end,date,value
2026-05-12,2026-05-12,2015-01-01,234.747
2026-05-12,2026-05-12,2015-02-01,235.342
2026-05-12,2026-05-12,2015-03-01,235.976
2026-05-12,2026-05-12,2015-04-01,236.222
2026-05-12,2026-05-12,2015-05-01,237.001
2026-05-12,2026-05-12,2015-06-01,237.657
2026-05-12,2026-05-12,2015-07-01,238.034
2026-05-12,2026-05-12,2015-08-01,238.033
2026-05-12,2026-05-12,2015-09-01,237.498
2026-05-12,2026-05-12,2015-10-01,237.733
2026-05-12,2026-05-12,2015-11-01,238.017
2026-05-12,2026-05-12,2015-12-01,237.761
2026-05-12,2026-05-12,2016-01-01,237.652
2026-05-12,2026-05-12,2016-02-01,237.336
2026-05-12,2026-05-12,2016-03-01,238.080
2026-05-12,2026-05-12,2016-04-01,238.992
2026-05-12,2026-05-12,2016-05-01,239.557
2026-05-12,2026-05-12,2016-06-01,240.222
2026-05-12,2026-05-12,2016-07-01,240.101
2026-05-12,2026-05-12,2016-08-01,240.545
2026-05-12,2026-05-12,2016-09-01,241.176
2026-05-12,2026-05-12,2016-10-01,241.741
2026-05-12,2026-05-12,2016-11-01,242.026
2026-05-12,2026-05-12,2016-12-01,242.637
2026-05-12,2026-05-12,2017-01-01,243.618
2026-05-12,2026-05-12,2017-02-01,244.006
2026-05-12,2026-05-12,2017-03-01,243.892
2026-05-12,2026-05-12,2017-04-01,244.193
2026-05-12,2026-05-12,2017-05-01,244.004
2026-05-12,2026-05-12,2017-06-01,244.163
2026-05-12,2026-05-12,2017-07-01,244.243
2026-05-12,2026-05-12,2017-08-01,245.183
2026-05-12,2026-05-12,2017-09-01,246.435
2026-05-12,2026-05-12,2017-10-01,246.626
2026-05-12,2026-05-12,2017-11-01,247.284
2026-05-12,2026-05-12,2017-12-01,247.805
2026-05-12,2026-05-12,2018-01-01,248.859
2026-05-12,2026-05-12,2018-02-01,249.529
2026-05-12,2026-05-12,2018-03-01,249.577
2026-05-12,2026-05-12,2018-04-01,250.227
2026-05-12,2026-05-12,2018-05-01,250.792
2026-05-12,2026-05-12,2018-06-01,251.018
2026-05-12,2026-05-12,2018-07-01,251.214
2026-05-12,2026-05-12,2018-08-01,251.663
2026-05-12,2026-05-12,2018-09-01,252.182
2026-05-12,2026-05-12,2018-10-01,252.772
2026-05-12,2026-05-12,2018-11-01,252.594
2026-05-12,2026-05-12,2018-12-01,252.767
2026-05-12,2026-05-12,2019-01-01,252.561
2026-05-12,2026-05-12,2019-02-01,253.319
2026-05-12,2026-05-12,2019-03-01,254.277
2026-05-12,2026-05-12,2019-04-01,255.233
2026-05-12,2026-05-12,2019-05-01,255.296
2026-05-12,2026-05-12,2019-06-01,255.213
2026-05-12,2026-05-12,2019-07-01,255.802
2026-05-12,2026-05-12,2019-08-01,256.036
2026-05-12,2026-05-12,2019-09-01,256.430
2026-05-12,2026-05-12,2019-10-01,257.155
2026-05-12,2026-05-12,2019-11-01,257.879
2026-05-12,2026-05-12,2019-12-01,258.630
2026-05-12,2026-05-12,2020-01-01,259.127
2026-05-12,2026-05-12,2020-02-01,259.250
2026-05-12,2026-05-12,2020-03-01,258.076
2026-05-12,2026-05-12,2020-04-01,256.032
2026-05-12,2026-05-12,2020-05-01,255.802
2026-05-12,2026-05-12,2020-06-01,257.042
2026-05-12,2026-05-12,2020-07-01,258.352
2026-05-12,2026-05-12,2020-08-01,259.316
2026-05-12,2026-05-12,2020-09-01,259.997
2026-05-12,2026-05-12,2020-10-01,260.319
2026-05-12,2026-05-12,2020-11-01,260.911
2026-05-12,2026-05-12,2020-12-01,262.045
2026-05-12,2026-05-12,2021-01-01,262.687
2026-05-12,2026-05-12,2021-02-01,263.579
2026-05-12,2026-05-12,2021-03-01,264.961
2026-05-12,2026-05-12,2021-04-01,266.614
2026-05-12,2026-05-12,2021-05-01,268.383
2026-05-12,2026-05-12,2021-06-01,270.654
2026-05-12,2026-05-12,2021-07-01,271.903
2026-05-12,2026-05-12,2021-08-01,272.676
2026-05-12,2026-05-12,2021-09-01,273.910
2026-05-12,2026-05-12,2021-10-01,276.550
2026-05-12,2026-05-12,2021-11-01,278.919
2026-05-12,2026-05-12,2021-12-01,280.845
2026-05-12,2026-05-12,2022-01-01,282.543
2026-05-12,2026-05-12,2022-02-01,284.500
2026-05-12,2026-05-12,2022-03-01,287.674
2026-05-12,2026-05-12,2022-04-01,288.561
2026-05-12,2026-05-12,2022-05-01,291.298
2026-05-12,2026-05-12,2022-06-01,294.957
2026-05-12,2026-05-12,2022-07-01,294.913
2026-05-12,2026-05-12,2022-08-01,295.097
2026-05-12,2026-05-12,2022-09-01,296.349
2026-05-12,2026-05-12,2022-10-01,298.007
2026-05-12,2026-05-12,2022-11-01,298.786
2026-05-12,2026-05-12,2022-12-01,298.832
2026-05-12,2026-05-12,2023-01-01,300.420
2026-05-12,2026-05-12,2023-02-01,301.450
2026-05-12,2026-05-12,2023-03-01,301.821
2026-05-12,2026-05-12,2023-04-01,302.845
2026-05-12,2026-05-12,2023-05-01,303.334
2026-05-12,2026-05-12,2023-06-01,304.014
2026-05-12,2026-05-12,2023-07-01,304.609
2026-05-12,2026-05-12,2023-08-01,306.082
