realtime_start,realtime_end,date,value
2026-05-27,2026-05-27,2015-01-01,2.99
2026-05-27,2026-05-27,2015-02-01,2.87
2026-05-27,2026-05-27,2015-03-01,2.83
2026-05-27,2026-05-27,2015-04-01,2.61
2026-05-27,2026-05-27,2015-05-01,2.85
2026-05-27,2026-05-27,2015-06-01,2.78
2026-05-27,2026-05-27,2015-07-01,2.84
2026-05-27,2026-05-27,2015-08-01,2.77
2026-05-27,2026-05-27,2015-09-01,2.66
2026-05-27,2026-05-27,2015-10-01,2.34
2026-05-27,2026-05-27,2015-11-01,2.09
2026-05-27,2026-05-27,2015-12-01,1.93
2026-05-27,2026-05-27,2016-01-01,2.28
2026-05-27,2026-05-27,2016-02-01,1.99
2026-05-27,2026-05-27,2016-03-01,1.73
2026-05-27,2026-05-27,2016-04-01,1.92
2026-05-27,2026-05-27,2016-05-01,1.92
2026-05-27,2026-05-27,2016-06-01,2.59
2026-05-27,2026-05-27,2016-07-01,2.82
2026-05-27,2026-05-27,2016-08-01,2.82
2026-05-27,2026-05-27,2016-09-01,2.99
2026-05-27,2026-05-27,2016-10-01,2.98
2026-05-27,2026-05-27,2016-11-01,2.55
2026-05-27,2026-05-27,2016-12-01,3.59
2026-05-27,2026-05-27,2017-01-01,3.3
2026-05-27,2026-05-27,2017-02-01,2.85
2026-05-27,2026-05-27,2017-03-01,2.88
2026-05-27,2026-05-27,2017-04-01,3.1
2026-05-27,2026-05-27,2017-05-01,3.15
2026-05-27,2026-05-27,2017-06-01,2.98
2026-05-27,2026-05-27,2017-07-01,2.98
2026-05-27,2026-05-27,2017-08-01,2.9
2026-05-27,2026-05-27,2017-09-01,2.98
2026-05-27,2026-05-27,2017-10-01,2.88
2026-05-27,2026-05-27,2017-11-01,3.01
2026-05-27,2026-05-27,2017-12-01,2.82
2026-05-27,2026-05-27,2018-01-01,3.87
2026-05-27,2026-05-27,2018-02-01,2.67
2026-05-27,2026-05-27,2018-03-01,2.69
2026-05-27,2026-05-27,2018-04-01,2.8
2026-05-27,2026-05-27,2018-05-01,2.8
2026-05-27,2026-05-27,2018-06-01,2.97
2026-05-27,2026-05-27,2018-07-01,2.83
2026-05-27,2026-05-27,2018-08-01,2.96
2026-05-27,2026-05-27,2018-09-01,3.0
2026-05-27,2026-05-27,2018-10-01,3.28
2026-05-27,2026-05-27,2018-11-01,4.09
2026-05-27,2026-05-27,2018-12-01,4.04
2026-05-27,2026-05-27,2019-01-01,3.11
2026-05-27,2026-05-27,2019-02-01,2.69
2026-05-27,2026-05-27,2019-03-01,2.95
2026-05-27,2026-05-27,2019-04-01,2.65
2026-05-27,2026-05-27,2019-05-01,2.64
2026-05-27,2026-05-27,2019-06-01,2.4
2026-05-27,2026-05-27,2019-07-01,2.37
2026-05-27,2026-05-27,2019-08-01,2.22
2026-05-27,2026-05-27,2019-09-01,2.56
2026-05-27,2026-05-27,2019-10-01,2.33
2026-05-27,2026-05-27,2019-11-01,2.65
2026-05-27,2026-05-27,2019-12-01,2.22
2026-05-27,2026-05-27,2020-01-01,2.02
2026-05-27,2026-05-27,2020-02-01,1.91
2026-05-27,2026-05-27,2020-03-01,1.79
2026-05-27,2026-05-27,2020-04-01,1.74
2026-05-27,2026-05-27,2020-05-01,1.75
2026-05-27,2026-05-27,2020-06-01,1.63
2026-05-27,2026-05-27,2020-07-01,1.76
2026-05-27,2026-05-27,2020-08-01,2.3
2026-05-27,2026-05-27,2020-09-01,1.92
2026-05-27,2026-05-27,2020-10-01,2.39
2026-05-27,2026-05-27,2020-11-01,2.61
2026-05-27,2026-05-27,2020-12-01,2.58
2026-05-27,2026-05-27,2021-01-01,2.71
2026-05-27,2026-05-27,2021-02-01,5.35
2026-05-27,2026-05-27,2021-03-01,2.62
2026-05-27,2026-05-27,2021-04-01,2.66
2026-05-27,2026-05-27,2021-05-01,2.91
2026-05-27,2026-05-27,2021-06-01,3.26
2026-05-27,2026-05-27,2021-07-01,3.84
2026-05-27,2026-05-27,2021-08-01,4.07
2026-05-27,2026-05-27,2021-09-01,5.16
2026-05-27,2026-05-27,2021-10-01,5.51
2026-05-27,2026-05-27,2021-11-01,5.05
2026-05-27,2026-05-27,2021-12-01,3.76
2026-05-27,2026-05-27,2022-01-01,4.38
2026-05-27,2026-05-27,2022-02-01,4.69
2026-05-27,2026-05-27,2022-03-01,4.9
2026-05-27,2026-05-27,2022-04-01,6.6
